x ,y
0.02289,442.31921
0.02292,439.61549
0.02355,443.84361
0.02311,443.01263
0.02327,444.62733
0.02331,444.13633
0.02341,445.67754
0.02394,448.11679
0.02378,449.80902
0.02396,444.6598
0.02394,445.74257
0.02436,446.78961
0.02424,446.4308
0.02431,447.70763
0.02424,446.94064
0.02425,445.59146
0.02469,446.93439
0.02463,453.37505
0.02499,444.7574
0.02476,448.55322
0.02517,448.51758
0.02531,447.40022
0.02535,446.75292
0.02535,445.93663
0.02543,448.52805
0.02549,445.70059
0.02519,445.34284
0.02548,446.12339
0.02566,446.14337
0.02551,442.31498
0.02575,443.9684
0.02596,443.53619
0.02575,445.67956
0.02594,448.22592
0.02618,449.33061
0.02588,446.94275
0.0261,448.35283
0.02633,448.76937
0.02628,448.46301
0.0268,449.45655
0.02682,452.19688
0.02685,454.68761
0.02716,455.42724
0.02734,448.60462
0.02739,448.40317
0.02767,452.15806
0.02751,453.5912
0.02719,453.88708
0.02779,451.63353
0.02775,450.56862
0.028,452.22733
0.02804,455.33386
0.02802,448.71586
0.02811,449.28132
0.02818,447.36766
0.02844,454.09267
0.02853,453.28801
0.0283,450.982
0.02843,452.48959
0.02851,448.00766
0.02854,452.27142
0.02894,459.12018
0.0289,459.34574
0.02912,454.85122
0.02958,455.55943
0.02927,450.14372
0.02949,454.11582
0.02942,454.12735
0.02951,453.7108
0.02981,457.12994
0.03005,459.33219
0.03027,455.487
0.03028,457.23072
0.03053,456.6547
0.03032,451.30508
0.0306,458.24211
0.03052,455.38948
0.03078,457.30103
0.03049,454.58367
0.03087,453.39503
0.03119,456.88871
0.03088,452.05633
0.03136,452.32176
0.03136,455.09149
0.03117,452.62389
0.0311,451.41527
0.03118,457.06491
0.03174,458.20013
0.03142,457.68915
0.03188,455.47864
0.03223,462.02948
0.03183,456.5446
0.03252,460.18825
0.03238,459.02477
0.0323,454.17875
0.03211,454.65716
0.03247,454.85967
0.0328,454.58367
0.03284,456.77122
0.03289,458.24422
0.03314,454.6708
0.03313,455.50909
0.03309,458.40678
0.03306,458.36902
0.03306,458.41523
0.03305,454.95824
0.0335,456.34526
0.03356,454.96141
0.03364,458.30081
0.03323,459.50319
0.03357,456.69562
0.03382,456.40502
0.03405,462.9916
0.03419,455.96436
0.03411,454.81558
0.03449,461.03067
0.03408,453.40656
0.03401,457.02196
0.03438,458.74253
0.03417,457.14464
0.03492,462.44708
0.03489,461.04748
0.03498,462.27292
0.03496,460.95938
0.0353,462.74086
0.03525,462.12708
0.03581,460.70442
0.03594,461.57105
0.03568,460.03714
0.03585,461.94139
0.03604,460.39806
0.03612,456.86249
0.03611,459.2807
0.03574,458.57672
0.03654,457.53391
0.03625,459.34785
0.03676,462.39982
